category,task,confidence,original_review
netcode/desync,optimize server synchronization,0.9,"Even if you are not a fan of extraction shooters, this game might be worth testing the waters and seeing if it works for you. If embark can keep the ship steady this game is likely to be a flagship name in the industry."
other,Improve gameplay and graphics,0.8,"Lackluster, mid extraction shooter at best."
netcode/desync,Optimize server synchronization for arc and hornet raids,0.8,raiding my arc rn raiding hornets rn raiding my shit rn
netcode/desync,"optimize server synchronization, rebalance weapon damage curves",1.0,"It's pretty good ngl. It's a cool, more casual extraction shooter with cool PvE and fun and mostly fair PvP."
netcode/desync,optimize server synchronization,0.9,very well-made game but very desynced
netcode/desync,optimize server synchronization,0.9,This game still crashes... A friend of mine tells me of frequent crashes and i had a crash that costs me all my 23 minutes of looting.
netcode/desync,optimize server synchronization and fix crash issues,0.9,"The game is fun but there are some bugs. The graphics are great and the sound effects are top-notch, but sometimes the game crashes when I try to load a new level."
netcode/desync,Optimize server synchronization to reduce lag and improve overall stability in PvP combat.,0.95,The PVP portion of the game has really killed the game for me. There's absolutely no reason I should have to grind 4 or 5 hours to find a piece of gear and then get killed and lose everything you just I've been working on the last few hours. I have 26.5 hours in the game and every single time I have the mats to upgrade a station I get killed by some idiot. I will no be playing this game any more until the PVP side is gone.
netcode/desync,optimize server synchronization,0.9,broke it with the update
netcode/desync,optimize server synchronization,0.9,"I love this game! The graphics are amazing and the gameplay is so fun. However, I've been experiencing a lot of lag lately which makes it hard to play."
matchmaking/servers,Improve risk-reward balance and address trolling behaviors in solo queue.,0.8,"After 60+ hours, solo queue has completely devolved. What started as a promising mix of cooperation and PvPvE has turned into a toxic mess where a handful of players ruin the experience for everyone else."
ui/ux/controls,Improve graphics and implement better 3rd person camera controls,0.95,Overhyped Trash with garbage 3rd person camera that ruins the entire game
netcode/desync,optimize server synchronization,1.0,"ever since this new update, my game has been crashing all the time. It ran perfectly before the update and now I crash almost every game"
performance/fps,optimize weapon balance and adjust difficulty settings,0.8,bad
weapon/ai balance,"Balance weapon damage curves, add more customization options for characters",0.8,"I just played Fortnite and I have some thoughts. First off, it's really fun! The graphics are great and the gameplay is engaging. However, there are a few things that could be improved. For one, the guns feel underpowered compared to other shooters. It would also be nice if we had more customization options for our characters. Additionally, I noticed some lag during certain parts of the game which made it difficult to aim and hit shots. Overall, Fortnite is a great game with room for improvement."
netcode/desync,optimize server synchronization,0.9,"game sucks people just kill people for no reason like i come in free with nada and people still be people. spawns are shit and the AI robots are toxic AF, plus spaceport has nothing to loot whoever made that map dropped the ball on lootable areas, cant go for queen cause you get camped for no reason just a all around horrible situation to be in. dont play this game if your weak hearted i cant stop im too addicted to this shit show."
other,Prevent enemy players from attacking the player during raids.,0.95,i think the other raiders shouldnt be allowed to shoot me! that would make the game so much more fun!!
netcode/desync,optimize server synchronization,0.9,This game must be a nightmare for devs who don't optimize and blame all their performance issues on Unreal 5.
netcode/desync,optimize server synchronization,1.0,Unless the d-sync is fixed its not really worth the money
pve/mission loop,Implement a system for safely looting and reviving knocked-down players without killing them.,0.95,"It would be great if the game allowed searching knocked-down players who are crawling on the ground — instead of finishing them off, you could safely loot them, optionally revive them and move on, without needing to kill them."
netcode/desync,"optimize server synchronization, rebalance weapon damage curves",0.8,Great Game overall with plenty of things to do and keep busy with. At the moment my friend and I are plagued with game launching issues as well as disconnecting from servers every 30s in some games.
